ydstogo,yardline_100,game_seconds_remaining,score_differential,posteam_timeouts_remaining,defteam_timeouts_remaining,off_epa_db,off_epa_rush,def_epa_db_allowed,def_epa_rush_allowed,posteam,defteam,qtr,season,fourth_down_converted
10,31,52,-7,1.0,2.0,-0.0420851417742706,-0.0744431314050357,0.134778699079921,-0.0179343873439959,JAX,HOU,4,2019,1
2,56,546,-18,3.0,2.0,0.179750607009636,-0.0834285737374612,-0.0202600701271285,0.0435898536004515,LV,KC,4,2019,1
1,35,486,-4,3.0,3.0,0.0284144217193733,-0.134043119960541,0.0810276015519127,-0.03113103725949,DET,LAC,4,2019,1
1,25,1897,14,3.0,3.0,0.120788650389576,-0.0266865676462909,-0.0186459880374121,-0.0970454354266318,GB,MIN,2,2019,0
5,50,433,-37,2.0,2.0,-0.0420003856347691,-0.165772631114309,-0.266445986323596,-0.104457274126202,MIA,NE,4,2019,1
23,53,357,-37,2.0,2.0,-0.0420003856347691,-0.165772631114309,-0.266445986323596,-0.104457274126202,MIA,NE,4,2019,0
10,41,314,-37,1.0,2.0,-0.0420003856347691,-0.165772631114309,-0.266445986323596,-0.104457274126202,MIA,NE,4,2019,0
10,36,18,-43,1.0,2.0,-0.0420003856347691,-0.165772631114309,-0.266445986323596,-0.104457274126202,MIA,NE,4,2019,1
1,52,1967,0,2.0,2.0,0.160439351780536,-0.0653863890945963,0.0085223775335452,-0.0853475778762632,NO,LA,2,2019,0
4,4,1203,-11,3.0,3.0,0.0465152771391996,-0.0759834800828191,0.130404090390408,-0.0865160043264691,PHI,ATL,3,2019,1
3,54,140,-3,3.0,2.0,0.057933833520706,-0.109917520730073,0.0493241632520065,-0.158263418934633,ATL,PHI,4,2019,1
14,61,89,-4,0.0,2.0,0.0465152771391996,-0.0759834800828191,0.130404090390408,-0.0865160043264691,PHI,ATL,4,2019,1
8,16,38,-4,0.0,1.0,0.0465152771391996,-0.0759834800828191,0.130404090390408,-0.0865160043264691,PHI,ATL,4,2019,0
1,33,120,2,2.0,1.0,0.17439001477562,-0.0815850348570847,-0.0972441646087349,-0.177224964056479,SEA,PIT,4,2019,1
11,26,245,-31,3.0,2.0,-0.100603220093765,-0.0843467454619354,-0.128978308664097,-0.094091408790375,CIN,SF,4,2019,0
4,66,56,-31,3.0,2.0,-0.100603220093765,-0.0843467454619354,-0.128978308664097,-0.094091408790375,CIN,SF,4,2019,1
1,47,3220,0,2.0,3.0,-0.0912171037300321,-0.0818678496829534,-0.0156841231956559,-0.181925429774626,CAR,TB,1,2019,0
1,45,705,-3,2.0,3.0,-0.0912171037300321,-0.0818678496829534,-0.0156841231956559,-0.181925429774626,CAR,TB,4,2019,0
1,2,88,-6,1.0,2.0,-0.0912171037300321,-0.0818678496829534,-0.0156841231956559,-0.181925429774626,CAR,TB,4,2019,0
3,9,3008,0,2.0,2.0,0.242103321654931,0.102375945646042,-0.0202600701271285,0.0435898536004515,BAL,KC,1,2019,1
1,66,2606,-1,2.0,2.0,0.242103321654931,0.102375945646042,-0.0202600701271285,0.0435898536004515,BAL,KC,2,2019,1
2,53,2438,-1,2.0,2.0,0.242103321654931,0.102375945646042,-0.0202600701271285,0.0435898536004515,BAL,KC,2,2019,0
1,41,1381,10,3.0,3.0,0.247458679264274,-0.0052199784925181,-0.108660221241322,-0.0344554220474399,KC,BAL,3,2019,0
