"","season","team","def_epa_play_allowed","def_epa_db_allowed","def_epa_rush_allowed","def_ypa_allowed","def_ypc_allowed","def_sack_rate","def_int_rate_forced"
"1",2025,"ARI",0.00306551562465928,0.0522492115603531,-0.062874770724457,6.98753117206983,4.26182965299685,0.0988235294117647,0.0174563591022444
"2",2025,"ATL",-0.00811164415862525,-0.0497646651129501,0.0398669071985054,6.96952908587258,4.51002865329513,0.0472636815920398,0.0110803324099723
"3",2025,"BAL",0.0119305218331579,0.0569915888581511,-0.0513496803161381,6.70642201834862,4.3858024691358,0.0703296703296703,0.018348623853211
"4",2025,"BUF",0.0210221510682776,-0.0570778909486009,0.104193624384953,6.65894039735099,5.31818181818182,0.0853658536585366,0.0298013245033113
"5",2025,"CAR",0.0652384143073847,0.109227677663774,0.011758755941162,7.24310776942356,4.49854227405248,0.0719424460431655,0.025062656641604
"6",2025,"CHI",-0.00265623637168459,0.00618022907048116,-0.0139726130831033,7.55080213903743,5.18064516129032,0.0478589420654912,0.0133689839572193
"7",2025,"CIN",0.165288285262041,0.23103643165612,0.0882482134484796,7.87901234567901,5.09418282548476,0.0591016548463357,0.0296296296296296
"8",2025,"CLE",-0.115602430169789,-0.0852549127859588,-0.150377548874057,6.96706586826347,3.69604863221885,0.0875331564986737,0.029940119760479
"9",2025,"DAL",0.128716053356229,0.166594946196402,0.0766768267440294,7.83050847457627,4.66043613707165,0.0385487528344671,0.0217917675544794
"10",2025,"DEN",-0.099566572487145,-0.106271261471979,-0.0891092590705011,6.34688346883469,3.63432835820896,0.0311004784688995,0.021680216802168
"11",2025,"DET",-0.0342193044479125,0.0154543322049818,-0.098174111638514,7.24736842105263,3.8875,0.0631067961165049,0.0131578947368421
"12",2025,"GB",-0.0122205750543542,0.031902007049046,-0.0743999234310933,6.15696202531646,3.89438943894389,0.0398126463700234,0.00759493670886076
"13",2025,"HOU",-0.117354808157478,-0.152911668837881,-0.0640846395923303,6.27733333333333,4.02930402930403,0.0660146699266504,0.0186666666666667
"14",2025,"IND",-0.027440568175092,-0.00955330980378706,-0.0565813996939067,6.96061269146608,3.90397350993377,0.0447154471544715,0.0153172866520788
"15",2025,"JAX",-0.0628089747346181,-0.0753014758784488,-0.0391571642686305,6.43736263736264,3.90909090909091,0.0668058455114822,0.0241758241758242
"16",2025,"KC",0.00175819654486316,0.01346437598905,-0.0138637823612876,7.16806722689076,4.26408450704225,0.0686015831134565,0.0196078431372549
"17",2025,"LA",-0.0722802664625541,-0.0695094263263469,-0.0760785913909112,6.48803827751196,3.93313069908815,0.0376940133037694,0.00956937799043062
"18",2025,"LAC",-0.041083854830186,-0.0838146513821865,0.0163761178060269,6.31288343558282,4.74242424242424,0.104225352112676,0.0276073619631902
"19",2025,"LV",0.00569675898075223,0.0917976542289552,-0.0973465704937101,7.19088319088319,3.66774193548387,0.110512129380054,0.037037037037037
"20",2025,"MIA",0.0809282986102218,0.152719387813931,0.00162418844333362,7.47605633802817,4.79651162790698,0.0710526315789474,0.0394366197183099
"21",2025,"MIN",-0.00105372381141235,0.0304608569573448,-0.0310375963714013,7.27777777777778,4.04571428571429,0.117117117117117,0.0490196078431373
"22",2025,"NE",-0.0304175092459796,-0.0193575886455703,-0.0482574578006628,6.87373737373737,4.03065134099617,0.0878859857482185,0.0151515151515152
"23",2025,"NO",-0.0167992328365255,0.0536895060558975,-0.0842724107068128,7.36969696969697,4.07219251336898,0.0893854748603352,0.0303030303030303
"24",2025,"NYG",0.123706784102134,0.0661465746155886,0.204978903785968,6.90307328605201,5.93081761006289,0.0712694877505568,0.0189125295508274
"25",2025,"NYJ",0.0863430803278666,0.151184635859569,0.0193813649422669,6.98603351955307,4.28882833787466,0.108179419525066,0.0139664804469274
"26",2025,"PHI",-0.045022175647194,-0.0598979495667371,-0.0260696590208373,6.63922518159806,4.51020408163265,0.0594965675057208,0.00484261501210654
"27",2025,"PIT",0.0177114195111586,0.0201751612838129,0.013611049275241,7.06944444444444,4.15357142857143,0.0450643776824034,0.0185185185185185
"28",2025,"SEA",-0.0538102875852363,-0.00398163300577011,-0.138556749351071,6.23002421307506,3.78409090909091,0.0244988864142539,0.026634382566586
"29",2025,"SF",0.0497047411802235,0.115406775586661,-0.0452886026829544,6.95121951219512,4.17647058823529,0.0428265524625268,0.0288248337028825
"30",2025,"TB",-0.0114964821218645,0.0381247564475753,-0.09046361446893,7.67710843373494,4.18996415770609,0.0585585585585586,0.0120481927710843
"31",2025,"TEN",0.0771200817782913,0.159734113602778,-0.0193870004431062,7.88857938718663,4.5975975975976,0.118251928020566,0.0167130919220056
"32",2025,"WAS",0.136144291556681,0.257356957797368,0.00284811964714089,8.86585365853658,4.71339563862928,0.0764872521246459,0.0213414634146341
