"","season","team","off_epa_play","off_epa_db","off_epa_rush","off_pass_rate","off_ypa","off_ypc","off_sack_rate","off_int_rate","passing_cpoe"
"1",2019,"ARI",0.00979230955276918,0.00972031930118109,0.00990211286579747,0.604,6.85379061371841,5.02525252525253,0.0827814569536424,0.0216606498194946,-24.9435488673701
"2",2019,"ATL",0.00249387892327713,0.057933833520706,-0.109917520730073,0.66970802919708,7.38157894736842,3.75966850828729,0.0681198910081744,0.0219298245614035,48.1759760613688
"3",2019,"BAL",0.166558676321405,0.242103321654931,0.102375945646042,0.459342560553633,7.44488977955912,5.5696,0.0602636534839925,0.0200400801603206,53.2920719454512
"4",2019,"BUF",-0.0328459749950559,-0.0322805395690396,-0.0335359204441748,0.549590536851683,6.6951871657754,4.4969696969697,0.0711920529801325,0.0213903743315508,-36.3282296686044
"5",2019,"CAR",-0.0878663033009027,-0.0912171037300321,-0.0818678496829534,0.641597028783658,6.53080568720379,4.71243523316062,0.0839363241678727,0.033175355450237,-31.2341452130004
"6",2019,"CHI",-0.0906557907415083,-0.0484949185728265,-0.157366031514739,0.612745098039216,6.16034482758621,3.69113924050633,0.072,0.0206896551724138,-24.8257981928529
"7",2019,"CIN",-0.0946368304529126,-0.100603220093765,-0.0843467454619354,0.632983794089609,6.48376623376623,3.94025974025974,0.072289156626506,0.025974025974026,-95.3499876986085
"8",2019,"CLE",-0.0376527611532805,-0.0225811426797235,-0.0598958622084029,0.596094552929085,7.13729128014842,4.83715012722646,0.0706896551724138,0.038961038961039,-60.2233305625379
"9",2019,"DAL",0.128503727525794,0.200384032524924,0.0292480725158598,0.579981290926099,8.21105527638191,4.79510022271715,0.0370967741935484,0.0184254606365159,26.0801338283329
"10",2019,"DEN",-0.0636014735135696,-0.051984112551296,-0.0790818200280907,0.571278825995807,6.74801587301587,4.06356968215159,0.0752293577981651,0.0198412698412698,-32.9234479701185
"11",2019,"DET",-0.0363458324076838,0.0284144217193733,-0.134043119960541,0.601371204701273,7.33274956217163,4.05159705159705,0.0700325732899023,0.0262697022767075,-55.3199305196299
"12",2019,"GB",0.0615132109503577,0.120788650389576,-0.0266865676462909,0.59806508355321,7.17683881064163,4.3019693654267,0.0602941176470588,0.00938967136150235,38.9956260174132
"13",2019,"HOU",0.0599170428807624,0.105725820520464,-0.0031638968198105,0.579310344827586,7.72176759410802,4.5983606557377,0.0907738095238095,0.0229132569558101,41.3002225586809
"14",2019,"IND",0.00407918215031793,-0.0288947981622015,0.0422337878197937,0.536417322834646,6.46003898635478,4.52229299363057,0.0587155963302752,0.0194931773879142,-59.2748063858193
"15",2019,"JAX",-0.0544255907609055,-0.0420851417742706,-0.0744431314050357,0.618627450980392,6.830220713073,4.39074550128535,0.0665610142630745,0.0135823429541596,-51.0486247744355
"16",2019,"KC",0.150009231050904,0.247458679264274,-0.0052199784925181,0.614334470989761,8.12645348837209,4.26548672566372,0.0444444444444444,0.0101744186046512,30.1621268592901
"17",2019,"LA",0.000154906221553766,0.0938823591637847,-0.15270732376403,0.619905213270142,7.3876582278481,3.73815461346633,0.0336391437308868,0.0268987341772152,-26.8307419298154
"18",2019,"LAC",0.0304711317157528,0.114717071526237,-0.114772551400137,0.632898696088265,7.785594639866,3.96994535519126,0.0538827258320127,0.033500837520938,71.1671423465472
